abstract,label
"The anodic deposition rate of cobalt oxide from CoCl2??6H2O is strongly affected by the type of complex agents (acetate ion (AcO???), citrate ion, EDTA) added into the deposition solutions. The oxidation potential of CoCl2??6H2O, examined by linear sweep voltammetry (LSV), is negatively shifted from ca. 1.1V to about 0.8, 0.5, and 0.2V by adding AcO???, citrate ion, and EDTA, respectively. The deposition rate of cobalt oxide is found to depend not only on the coordinating strength between Co and ligands but also on the conversion rate of the Co??L complexes (L: ligand) into the oxy-hydroxyl-Co species after electron transfer. The textural and electrochemical characteristics of resultant Co oxides, examined by X-ray photoelectron spectroscopic (XPS), scanning electron microscopic (SEM), open-circuit potential versus time, and cyclic voltammetric analyses, are also influenced by varying the complex agents. The deposition rate is the highest when the Co oxide is deposited from the precursor solution containing AcO???, which also exhibits the highest specific capacitance of ca. 230Fg???1 among all Co oxide deposits (as the oxide loading ???0.05mgcm???2), demonstrating its most promising applicability in the electrochemical supercapacitors.",battery
"A three-dimensionally interconnected carbon nanotube/layered MoS2 nanohybrid network is reported with best-so-far rate capability and outstanding long cycle life as lithium ion battery anode. The monolayer and bilayer MoS2 ultrathin nanosheets with large surface to volume ratio facilitate fast Li ion transport further boosting high power capability, while incorporating high conductive CNT enhances the electronic conductivity and retains the structural integrity. The nanohybrid delivers discharge capacity as high as 512mAhg???1 at 100Ag???1 and 1679mAhg???1 over 425 cycles at 1Ag???1 with 96% discharge capacity retention of the initial cycle.",battery
"The salt lithium difluoromono(oxalato)borate (LiDFOB) showed some promising results for lithium-ion-cells. It was synthesized via a new synthetic route that avoids chloride impurities. Here we report the properties of its solutions (solvent blend ethylene carbonate/diethyl carbonate (3:7, mass ratio), including its conductivity, cationic transference number, hydrolysis, Al-current collector corrosion-protection ability and its cycling performance with some electrode materials. Some Al-corrosion studies were also performed with the help of our recently developed computer controlled impedance scanning electrochemical quartz crystal microbalance (EQCM) that proofed to be a useful tool for battery material investigations.",battery
"Two- and four-electrode electrochemical cells were designed for characterization studies of highly resistive non-aqueous automotive lubricant using electrochemical impedance spectroscopy (EIS). The influence of internal configuration of the impedance analyzer, the media??s temperature and properties, shielding of the cables, and the electrochemical cell geometry and arrangement on the impedance results were investigated. The most accurate EIS measurements can be made in the two-electrode configuration with active shields where a single arc at high frequencies and a complicated low frequency impedance feature were observed in complex impedance plots. When four-electrode cells were employed, the impedance load, geometry and positioning of voltage electrodes; finite resistance of the impedance analyzer; and capacitive coupling between the signal lines introduced two types of impedance measurement artifacts. A capacitive-resistive low frequency load was interpreted as a measurement artifact originating from geometry and positioning of voltage electrodes. The appearance of additional medium frequency load combining resistive, capacitive and inductive features is intrinsic to the measurement setup and is due to a combination of several instrumental and experimental factors resulting in a voltage divider effect.",battery
"A miniaturized and low-cost algal growth-inhibition assay, with Pseudokirchneriella subcapitata, based on the standard ISO 8692 and using 96-well microplates, was tested and optimized in this work, to be used as a useful tool for pollutant phytotoxicity screening. For validation, the performance of the microplate algal growth-inhibition assay was first compared with the standard flask assay for the toxicity testing of five reference toxicants (copper(II) sulfate, zinc sulfate, potassium permanganate, potassium dichromate and 3,5-Dichlorophenol) and six wastewater samples. Statistical evaluation of EC50 results from both methods demonstrated a good agreement between microplate and flask assays either in testing chemicals (r2??=??0.975, p??<??0.0017) or environmental samples toxicity (r2??=??0.984, p??<??0.0001). In addition, the performance of this algal microplate bioassay was also evaluated in comparison with Lemna test, ISO 20079, for phytotoxicity assessment of 27 wastewater samples from industries and treatment plants. The results showed that the algal test was more sensitive for most of the samples, but a significant agreement between both tests was observed (r2??=??0.644, p??<??0.0001). In conclusion, this miniaturized test can be a good tool to include in a battery of tests for phytotoxicity screening of a wide range of chemicals and environmental samples, with the advantage of requiring low sample volumes for the test, allowing large numbers of samples to be tested, and generating low volumes of waste.",non-battery
"Publisher Summary This chapter explains the operation of the sensors and actuators used throughout a modern car. Special emphasis is placed on sensors and actuators used for power train (i.e., engine and transmission) applications since these systems normally employ the largest number of such devices. The chapter also discusses sensors found in other subsystems on modern cars. Automotive electronics have many examples of electronic control in virtually every subsystem. Modern automotive electronic control systems use microcontrollers based on microprocessors to implement almost all control functions. Each of these subsystems requires one or more sensors and actuators in order to operate. Fundamentally, an electronic control system uses measurements of the plant variable being regulated for feedback control. Temperature is an important parameter throughout the automotive system. In operation of an electronic fuel control system, it is vital to know the temperature of the coolant, the temperature of the inlet air, and the temperature of the exhaust gas oxygen sensor.",non-battery
"The increasing amount of solid waste arising from municipalities and other sources and its consequent disposal has been one of the major environmental problems in Turkey. Istanbul is a metropolitan city with a current population of around 14 million, and produces about 9000ton of solid waste every day. The waste composition for Istanbul has changed markedly from 1981 to 1996 with large decreases in waste density, much of which is related to decreased amounts of ash collected in winter. In recent years, the Istanbul region has implemented a new solid waste management system with transfer stations, sanitary landfills, and methane recovery, which has led to major improvements. In the Black Sea region of Turkey, most of the municipal and industrial solid wastes, mixed with hospital and hazardous wastes, are dumped on the nearest lowlands and river valleys or into the sea. The impact of riverside and seashore dumping of solid wastes adds significantly to problems arising from sewage and industry on the Black Sea coast. Appropriate integrated solid waste management systems are needed here as well; however, they have been more difficult to implement than in Istanbul because of more difficult topography, weaker administrative structures, and the lower incomes of the inhabitants.",non-battery
"Although human alcoholics exhibit lasting cognitive deficits, it can be difficult to definitively rule out pre-alcohol performance differences. For example, individuals with a family history of alcoholism are at increased risk for alcoholism and are also behaviorally impaired. Animal models of controlled alcohol exposure permit balanced group assignment, thereby ruling out the effects of pre-existing differences. Periadolescent male rhesus macaques (N = 5) consumed alcohol during 200 drinking sessions (M??F) across a 10-month period (mean daily alcohol consumption: 1.38 g/kg/day). A control group (N = 5) consumed a fruit-flavored vehicle during the same period. Spatial working memory, visual discrimination learning and retention and response time behavioral domains were assessed with subtests of the Monkey CANTAB (CAmbridge Neuropsychological Test Automated Battery). Spatial working memory performance was impaired in the alcohol group after 120 drinking sessions (6 mo) in a manner that depended on retention interval. The chronic alcohol animals were also impaired in retaining a visual discrimination over 24 hrs when assessed 6??8 weeks after cessation of alcohol drinking. Finally, the presentation of distractors in the response time task impaired the response time and accuracy of the chronic alcohol group more than controls after 6 months of alcohol cessation. Chronic alcohol consumption over as little as 6 months produces cognitive deficits, with some domains still affected after acute (6??8 wks) and lasting (6 mo) discontinuation from drinking. Animals were matched on alcohol preference and behavioral performance prior to exposure, thus providing strong evidence for the causal role of chronic alcohol in these deficits.",non-battery
"Esters of acrylic acid and methacrylic acid, more commonly known as acrylates and methacrylates, respectively, are key raw materials in the coatings and printing industry, with several of its chemical class used in food packaging. The results of over 200 short-term in vitro and in vivo mutagenicity studies available in the open literature have been evaluated. Despite differences in acrylate or methacrylate functionality or in the number of functional groups, a consistent pattern of test response was seen in a typical regulatory battery of mutagenicity tests. No evidence of point mutations was observed when acrylic acid or over 60 acrylates and methacrylates were investigated in Salmonella bacterial tests or in hprt mutation tests mammalian cells, and no evidence of a mutagenic effect was seen when tested in whole animal clastogenicity and/or aneuploidy (chromosomal aberration/micronucleus) studies. Consistent with the in vivo testing results, acrylic acid exhibited no evidence of carcinogenicity in chronic rodent cancer bioassays. In contrast, acrylic acid and the entire acrylate and methacrylate chemical class produced a consistently positive response when tested in the mouse lymphoma assay and/or other in vitro mammalian cell assays designed to detect clastogenicity. The biological relevance of this in vitro response is questioned based on the non-concordance of in vitro results with those of in vivo studies addressing the same mutagenic endpoint (clastogenicity). Thus, in short-term mutagenicity tests, the acrylates and methacrylates behave as a single chemical category, and genotoxicity behavior of a similar chemical can be predicted with confidence by inclusion within this chemical class, thus avoiding unnecessary testing.",non-battery
"The in situ strategy of cathode protection opportunistically uses PF6 ??? anions in electrolyte as chemical reagents to convert inactive precursor molecules to active electrolyte additives. With our approach, a bifunctional x(SiMe3)2 precursor replaces fluoride in the hexafluorophosphate, forming either a bidentate monoanion P(x)F4 ??? or a linear x(PF5 ???)2 dianion, depending on the bridge x (e.g., oxalato, malonato, succinato, and catecholato). While the efficiency of these species as cathode protective agents has been demonstrated, the mechanism for their beneficial action remains unknown. In this study, several molecular precursors have been synthesized, and the topology and energetics of secondary anions were correlated with their cycling performance. Regardless of their structural motif, all such additives demonstrated improved electrochemical performance by reducing initial cathode impedance and lowering the rate of capacity fade compared to the baseline electrolyte. However, bidentate monoanions with a malonato bridge showed significant advantage over other molecular designs for mitigating the impedance rise, suggesting that structural strain in the anion is important for easing surface modification of the cathode.",battery
"Road transportation, as an important requirement of modern society, is presently hindered by restrictions in emission legislations as well as the availability of petroleum fuels, and as a consequence, the fuel cost. For nearly 270 years, we burned our fossil cache and have come to within a generation of exhausting the liquid part of it. Besides, to reduce the greenhouse gases, and to obey the environmental laws of most countries, it would be necessary to replace a significant number of the petroleum-fueled internal-combustion-engine vehicles (ICEVs) with electric cars in the near future. In this article, we briefly describe the merits and demerits of various proposed electrochemical systems for electric cars, namely the storage batteries, fuel cells and electrochemical supercapacitors, and determine the power and energy requirements of a modern car. We conclude that a viable electric car could be operated with a 50 kW polymer-electrolyte fuel cell stack to provide power for cruising and climbing, coupled in parallel with a 30 kW supercapacitor and/or battery bank to deliver additional short-term burst-power during acceleration.",battery
"Anode material Li4Ti5O12 for lithium-ion batteries has been prepared by a novel sol??gel method with oxalic acid as a chelating agent and Li2CO3 and tetrabutyl titanate [Ti(OC4H9)4] as starting materials. Various initial conditions were studied in order to find the optimal conditions for the synthesis of Li4Ti5O12. Oxalic acid used in this method functioned as a fuel, decomposed the metal complexes at low temperature and yielded the free impurity Li4Ti5O12 compounds. Thermal analyses (TG??DTA) and XRD data show that powders grown with a spinel structure (Fd3m space group) have been obtained at 800??C for 16h. SEM analyses indicated that the prepared Li4Ti5O12 powders had a uniform cubic morphology with average particle size of 200nm. The influence of synthesis conditions on the electrochemical properties was investigated and discussed. The discharge capacity of Li4Ti5O12 synthesized with an oxalic acid to titanium ratio R =1.0 was 171mAhg???1 in the first cycle and 150mAhg???1 after 35 cycles under an optimal synthesis condition at 800??C for 20h. The very flat discharge and charge curves indicated that the electrochemical reaction based on Ti4+/Ti3+redox couple was a typical two-phase reaction.",battery
"A hybrid of multi-walled carbon nanotubes (MWCNTs) anchored with SnS nanosheets is synthesized through a simple solvothermal method for the first time. Interestingly, SnS can be controllably deposited onto the MWCNTs backbone in the shape of nanosheets or nanoparticles to form two types of SnS/MWCNTs hybrids, SnS NSs/MWCNTs and SnS NPs/MWCNTs. When evaluated as an anode material for lithium-ion batteries, the hybrids exhibit higher lithium storage capacities and better cycling performance compared to pure SnS. It is found that the SnS NSs/MWCNTs hybrid exhibits a large reversible capacity of 620mAhg???1 at a current of 100mAg???1 as an anode material for lithium-ion batteries, which is better than SnS NPs/MWCNTs. The improved performance may be attributed to the ultrathin nanosheet subunits possess short distance for Li+ ions diffusion and large electrode-electrolyte contact area for high Li+ ions flux across the interface. It is believed that the structural design of electrodes demonstrated in this work will have important implications on the fabrication of high-performance electrode materials for lithium-ion batteries.",battery
"This study describes the assembly of a rechargeable seawater battery using hard carbon as the anode, seawater as the cathode, and a fast Na ion-conducting ceramic as the solid electrolyte. Two different Na ion-conducting ceramics, ????-Al2O3 and Na3Zr2Si2PO12 (NASICON), are used as the solid electrolytes in this study. The discharge capacity of the seawater battery with the NASICON solid electrolyte is 120mAhg???1 after the first cycle and over 91% coulombic efficiency after twenty cycles. However, under the same experimental conditions, the discharge capacity of the seawater battery with a ??""-Al2O3 electrolyte significantly drops to 10mAhg???1 after one cycle. It is observed that the stability of NASICON in seawater is superior to that of ??""-Al2O3 and impedance results of NASICON are not changed significantly compared to that of ??""-Al2O3 after cycling tests. The stability of Na ion-conducting ceramics in seawater and their effects on the electrochemical performance of seawater batteries are presented and discussed.",battery
"Funding is essential to support the early stages of an academic career but isn??t the sole determinant of success. Huilin Pan discusses how personal development and supportive teams have been crucial to her development as an independent researcher.
",battery
"This study presents a brief review of Hybrid Power Sources (HPSs) for space applications to compare the results obtained for a HPS under unknown load containing pulses. The reliable technologies for energy sources and Energy Storage Systems (ESS) that can operate safety in extreme environments (very low temperature, intense radiation environments etc.) and under dynamic load demand (including load pulses) are compared based on the targets for power and energy density, efficiency, and lifetime. The pros and cons for HPS architectures and ESS topologies proposed in the literature are discussed in frame of optimization of the whole system. Two new optimization strategies were proposed to optimally operate the Fuel Cell (FC) system based on two control loops implemented based on the global optimization control of the boost DC-DC converter and the load-following control of the fuel flow rate or of the air flow rate. The comparative study performed (under constant load, dynamic load, and variable PV power) points out the advantages of one of the proposed optimization strategy in all performance indicators. For example, the gaps compared with the reference strategy are of 1.88%, 13.61 W/lpm, and 293 lpm for FC system efficiency, fuel consumption efficiency, and fuel economy, if the maximum load is considered. Also, different control methods are proposed at the ESS side to mitigate the load pulses (protecting the FC system) and regulate the DC voltage. The results obtained in this paper are discussed related to other ESS hybridizations and control solutions reported in the literature.",battery
"The enhancement of the surface alignment by magnetic field had a great theoretical and practical significance in the improvement of electrochemical capacitor. In the present study, the NiO nanowires were synthesized by liquid-phase reduction method, and the electrode was prepared within external magnetic field. The effects of magnetic field on the electrode surface and the electrochemical behavior were investigated. X-ray diffraction and scanning electron microscope studies showed that the applied magnetic field results in an orderly surface structure of the electrode, which induced an effective transfer path for the electrons and ions. Meanwhile, the orderly electrode surface improved the electrochemical capacitance, as well as decreased the internal resistance. It was found on the cyclic voltammetry and galvanostatic charge/discharge measurements that the electrode prepared with the magnetic field displays an increased capacitance (506??F??g???1), high power density (135.8??W??kg???1) and energy density (17.6??Wh??kg???1), and improved cycle stability compared to the electrode without magnetic field. Electrochemical impedance spectroscopy results demonstrated enhanced electrochemical properties for the addition of magnetic field.
",battery
"The energy density of lithium-ion batteries can be raised by increasing the redox potential of the positive electrode. This can be done in principle by substituting oxygen in commonly used lithium transition metal oxides with the more electronegative fluorine. To synthesize the quaternary lithium transition metal fluoride LiMgFeF6 with triturile structure a sol??gel process without toxic chemicals was used. The as-synthesized LiMgFeF6 was ball milled with carbon and binder to characterize the electrochemical properties of the LiMgFeF6/carbon/binder nanocomposite against lithium metal. After 20 cycles of galvanostatic cycling a reversible specific capacity of 107 mAh g???1, which is 80% of the theoretical capacity (1 eq. Li = 133 mAh g???1), was retained. In a rate performance test up to a discharge rate of 1C the LiMgFeF6/carbon/binder nanocomposite provided a specific capacity of 64 mAh g???1. Moessbauer spectroscopy and cyclic voltammetry confirmed the electrochemically active redox couple Fe3+/Fe2+ during cycling against lithium metal. Structural changes of the trirutile structure after lithium insertion have been investigated by X-ray powder diffraction.",battery
"Understanding inter- and intraspecific variation in parental care has been an important focus in studies of avian behaviour and evolution. Unfortunately, typical methods for quantifying parental care, such as field observation and video recordings, can be extremely time-consuming. Here, we demonstrate that utilizing behavioural analysis software, such as EthoVision XT, can reduce time required for video data extraction by 37???69??%. This method is highly accurate; results and error rates did not differ from those of manual observation. We suggest this method could be beneficial and time-saving for studies analyzing large amounts of video recordings.
",non-battery
"The goal of this study is to evaluate the effect of crime and discipline on graduation rates in higher education. Using national data on more than 1250 public and private non-profit institutions that were drawn from the Integrated Postsecondary Education Data System, the results reveal that more violence on and around campus is associated with lower 4-year graduation rates, whereas higher rates of disciplinary actions regarding alcohol, drugs, and weapons are associated with higher graduation rates. Furthermore, the findings suggest that utilizing the student conduct system rather than the criminal justice system to address minor offenses is more likely to lead to student success. This study contributes to the growing literature on college effectiveness and the influence of institutional structures and organizational policies on student achievement. The results of this study suggest that violent crime, institutional conduct systems, and campus police departments warrant further investigation.
",non-battery
Numerical simulation of sediment transport is a coupled problem based on computation of profiles of water velocity and suspended sediment concentration. Effects of the water velocity profile and turbulent pulsation on vertical motion of suspended particles are emphasized in this study. Explanation of amplified sediment deposit in zones of separated flow near both natural and manmade bottom irregularities (like walls of shipping channels) is given. A semi-empirical approach to determination of long-term sediment deposit/erosion is suggested.,non-battery
"Since dependency on fossil fuels and nuclear energy has become a main global concern, the South Korean government has made significant efforts for the diffusion and vitalization of renewable energy generation facilities. One of the notable efforts for renewable energy is the government's and research institutes?? provision of natural resource maps. Although these maps are useful for the diffusion of renewable energy generation systems, the economic feasibility of these systems can be affected by various factors (e.g., cost of the components in the systems or the characteristics of national electricity demand). Therefore, the current study investigates the economic feasibility of renewable energy generation systems in 17 selected cities in South Korea using information on the currently considered components and the hybrid optimization of multiple energy resources (HOMER) software. Based on the simulation results, the optimal configurations for the cities are introduced, the potentiality of utilizing renewable energy resources in the cities evaluated, and the renewable energy resources ranked for each city. Among the suggested cities, Jeju and Incheon are nominated as two promising locations for utilizing renewable energy resources. Moreover, this study presents the general economic feasibility maps for South Korean cities, as well as discusses both implications and limitations.",battery
" There is mounting evidence supporting the effectiveness of task-shifted mental health interventions in low- and middle-income countries (LMIC). However, there has been limited systematic scale-up or sustainability of these programs, indicating a need to study implementation. One barrier to progress is a lack of locally relevant and valid implementation measures. We adapted an existing brief dissemination and implementation (D&I) measure which includes scales for acceptability, appropriateness, feasibility and accessibility for local use and studied its validity and reliability among a sample of consumers in Ukraine.",non-battery
"The spread of severe acute respiratory syndrome coronavirus 2, taking on pandemic proportions, is placing extraordinary and unprecedented demands on healthcare systems worldwide. The increasing number of critical patients who, experiencing respiratory failure from acute respiratory distress syndrome, need respiratory support, has been leading countries to race against time in arranging new Intensive Care Units (ICUs) and in finding affordable and practical solutions to manage patients in each stage of the disease. The simultaneous worldwide emergency caused serious problems for mechanical ventilators supply. This chaotic scenario generated, indeed, a frenetic race to buy life-saving ventilators. However, the variety of mechanical ventilators designs, together with the limitations in time and resources, make the decision-making processes on ventilators procurement crucial and not counterbalanced by the evaluation of devices quality. This paper aimed at offering an overview of how evidence-based approach for health technologies evaluation, might provide support during Corona Virus Disease 2019 (COVID-19) pandemic in ICUs management and critical equipment supply. We compared and combined all the publicly available indications on the essential requirements that ICU ventilators might meet to be considered acceptable for treating COVID-19 patients in severe to critical illnesses. We hope that the critical analysis of these data might help readers to understand how structured decision-making processes based on evidence, evaluating the safety and effectiveness of a given medical device and the effects of its introduction in a healthcare setting, are able to optimize time and resources allocation that should be considered essential, especially during pandemic period.
",non-battery
"Introduction: REM sleep behavior disorder (RBD) is strongly associated with synucleinopathy and is caused by REM sleep without atonia (RSWA), the loss of normal muscle atonia during REM sleep. We aimed to determine whether RSWA severity was associated with cognitive functioning in RBD. Materials and methods: Both idiopathic (iRBD) and symptomatic RBD (sRBD) patients completed two cognitive batteries: CNS Vitals Signs (CNS-VS) and Useful Field of View (UFOV). All subjects underwent PSG and their muscle (SM: submentalis; AT: anterior tibialis) tone during REM sleep was visually and automatically scored. Group differences between sRBD and iRBD were then compared, and regression models fit to determine the relationship of RSWA and dependent cognitive measures. Results: Twenty iRBD and 10 sRBD participated. Demographics were similar between groups. Deficits on cognitive testing were observed on CNS-VS in processing speed (p = 0.014) and psychomotor speed (sRDB < iRBD, p = 0.019) and on Total UFOV and subtests 2 and 3 (sRBD > iRBD, all p < 0.002). sRBD patients had greater combined phasic and tonic RSWA in SM (p = 0.026) and longer mean phasic burst duration (p = 0.03). Regression analyses demonstrated that SM RSWA independently predicted overall CNS-VS Neurocognitive Index (NCI) (F = 4.5, p = 0.006), adjusting for age, gender, depressive symptoms (Zung score), and sleep disturbances (PSQI), and this relationship also remained significant in the iRBD group after excluding sRBD patients (F = 3.5, p = 0.03). Conclusion: SWA is predictive of lower overall cognitive performance in patients with RBD. Acknowledgements: The project described was supported by the National Institute on Aging (P50 AG016574), and through Grant Number 1 UL1 RR024150-01. The content is solely the responsibility of the authors.",non-battery
"Herein, we present a new strategy for the mass production of high-quality reduced graphene oxide (RGO) with a surface area of 354 m2 g???1 using high pressure hydrogen as a reducing agent under hydrothermal conditions. The high pressure used is solely generated from the packing of the gas cylinder itself and a pressure meter could simply fulfil the role of monitoring pressure. The reduction process is green without chemical wastes produced. Comparing to other reported methods, the significant advancements of our strategy lie not only in the high-quality RGO with high C/O ratio, conductivity and surface area, but also in the most environment-friendliness and cost-effectiveness, which make the large scale fabrication feasible. Moreover, clean noble metal nanocrystals such as Pt could be easily in situ deposited onto the surface of RGO nanosheets when noble metal salts are introduced into the system. In particular, the prepared RGO and Pt/RGO show exceptional electrochemical performances in supercapacitors and lithium oxygen batteries because of their clean electrochemical surface, good conductivity and large surface area. Our results reveal that the obtained RGO have a specific capacitance of 884.4 F g???1 at a current density of 0.5 A g???1, and the Pt/RGO electrode can deliver discharge??charge capacities of 1000 mAh g???1 for 40 cycles with a high round-trip efficiencies of 74.9% at 50 mA g???1 when used as Li??O2 battery electrodes.",battery
"MgTi, Mg0.5Ni0.5Ti and MgTi0.5Ni0.5 alloys doped with 10wt.% Pd were prepared by high energy ball milling and evaluated as hydrogen storage electrodes for Ni??MH batteries. X-ray diffraction analyses indicated that the Mg0.5Ni0.5Ti and MgTi0.5Ni0.5 alloys could be monophased or composed of a nanoscale mixture of MgTi+NiTi and MgTi+MgNi phases, respectively. Their hydrogen storage characteristics were investigated electrochemically in KOH electrolyte. No activation step was observed during the cycling of the Mg??Ti??Ni electrodes in contrast to that observed with the MgTi electrode. The highest hydrogen discharge capacity was obtained with the MgTi0.5Ni0.5 electrode (536mAhg???1) compared to 401 and 475mAhg???1 for the Mg0.5Ni0.5Ti and MgTi electrodes, respectively. The ternary Mg??Ti??Ni alloys showed a better cycle life with an average capacity decay rate per cycle lower than 1.5% compared to ???7% for the binary MgTi electrode. The Mg??Ni??Ti electrodes also displayed a much higher discharge rate capability than the binary MgTi electrode, especially with the Mg0.5Ni0.5Ti electrode. The origin of this was established on the basis of the anodic polarization curves, where a substantial decrease of the concentration overpotential (reflecting a higher hydrogen diffusivity) was observed for the Mg0.5Ni0.5Ti electrode.",battery
"Objectives The purpose of this review is to critically evaluate the available evidence from the published scientific literature on dementia care and service provision in rural and remote settings from the perspective of formal/paid caregiving, in order to assess the current state of knowledge, identify policy and practice implications, and make recommendations for future research. Methods A systematic review of the literature indexed in ISI Web of Knowledge, PsychInfo, Medline, Healthstar, CINAHL, EMBASE, and Sociological Abstracts was conducted. Data were extracted from papers meeting inclusion criteria: peer-reviewed papers that focused on dementia or Alzheimer's disease (AD), examined care or service provision in relation to persons with AD or dementia, and relevant to rural or remote care or services. Results The search identified 872 articles for review, reduced to 72 after removing duplicates and articles not meeting criteria. Of the 72 remaining, 46 are included in this current review focusing on formal or paid care. A future review will focus on the 26 studies on informal/unpaid care. Six themes that correspond to the current state of knowledge in rural dementia care in the 46 included studies were: diagnostic processes, service provision, service models and programs, staff education and support needs, use of technology, and long-term care. Conclusions Despite the growing body of evidence over the 20 years covered by this review, much of the research is descriptive and/or based on small sample sizes, and distributed across the care continuum. Hence the body of evidence on which to base policy and program decisions remains limited. More research is needed that would support the development of comprehensive rural dementia care models.",non-battery
"Nowadays nickel-rich LiNixCoyMn1-x-yO2 (0.5 < x < 1) cathode materials attract great research interests due to their high specific capacity in lithium ion batteries. However, poor cycling performance and serious safety concerns trade off their benefits. Here, we present an effective etching-induced coating strategy for surface modification of LiNi0.8Co0.1Mn0.1O2 cathode materials by LiAlO2. Hydrolysis of AlCl3 creates H+ to etch the hydroxide precursor of LiNi0.8Co0.1Mn0.1O2 and to induce oriented deposition of Al(OH)3 layer on surface of the hydroxide precursor, which is transformed into uniform ??-LiAlO2 coating on the LiNi0.8Co0.1Mn0.1O2 particles after the subsequent lithium impregnating and annealing. The 2.2 wt% LiAlO2-coated LiNi0.8Co0.1Mn0.1O2 cathode delivers a high rate capacity of 135.2 mAh g???1 at 10 C and long cyclability with capacity retention of 85.8% after 200 cycles at 0.5 C. In addition, the thermal stability of LiAlO2-coated LiNi0.8Co0.1Mn0.1O2 is significantly improved. The enhanced battery performances are due to partial Al3+ doping and Li+ conductive LiAlO2 coating layer that provides well-connected networks for Li+ transport, improves the structural stability and prevents core materials from the attack by side products.",battery
"Summary The purpose of this study was to examine the physiological correlates of the Yo??Yo intermittent recovery test level 1 (Yo??Yo IR1) in basketball players. Twenty-two male basketball players (means??S.D., body mass 72.4??11.4kg, height 181.7??6.9cm, age 16.8??2.0 years) were tested for maximal oxygen uptake (VO2max), ventilatory threshold (VT) and running economy (RE) on a motorized treadmill. Lower limb explosive strength and anaerobic-capacity was assessed using vertical jumps (CMJ), 15m shuttle running sprint (15mSR) and line drill (LD), respectively. The same test battery was replicated after an experimental basketball game in order to assess selective effect of fatigue on physical performance. Pre to post-game CMJ (40.3??5.7 versus 39.9??5.9cm) and 15mSR (5.80??0.25 versus 5.77??0.22s) performances were not significantly different (p >0.05). LD performance decreased significantly post-game (from 26.7??1.3 to 27.7??2.7s, p <0.001). Yo??Yo IR1 performances (m) were significantly related to VO2max (r =0.77, p =0.0001), speed at VO2max (r =0.71, p =0.0001) and %VO2max at VT (r =???0.60, p =0.04). Yo??Yo IR1 performance was significantly correlated to post-game LD decrements (r =???0.52, p =0.02). These findings show that Yo??Yo IR1 may be considered as a valid basketball-specific test for the assessment of aerobic fitness and game-related endurance.",non-battery
"Renewable energy technologies do not always employ sustainable resources. The scarcity of cobalt supply must be addressed in transportation electrification.
",battery
"The effect of bismuth (Bi) for both VO2 +/VO2+ and V3+/V2+ redox couples in vanadium flow batteries (VFBs) has been investigated by directly introducing Bi on the surface of carbon felt (CF). The results show that Bi has no catalytic effect for VO2 +/VO2+ redox couple. During the first charge process, Bi is oxidized to Bi3+ (never return back to Bi metal in the subsequent cycles) due to the low standard redox potential of 0.308V (vs. SHE) for Bi3+/Bi redox couple compared with VO2 +/VO2+ redox couple and Bi3+ exhibit no (or neglectable) electro-catalytic activity. Additionally, the relationship between Bi loading and electrochemical activity for V3+/V2+ redox couple was studied in detail. 2wt% Bi-modified carbon felt (2%-BiCF) exhibits the highest electrochemical activity. Using it as negative electrode, a high energy efficiency (EE) of 79.0% can be achieved at a high current density of 160mA/cm2, which is 5.5% higher than the pristine one. Moreover, the electrolyte utilization ratio is also increased by more than 30%. Even the cell operated at 140mA/cm2 for over 300 cycles, the EE can reach 80.9% without obvious fluctuation and attenuation, suggesting excellent catalytic activity and electrochemical stability in VFBs.",battery
"Many enterprises have been devoting a significant portion of their budget to product development in order to distinguish their products from those of their competitors and to make them better fit the needs and wants of customers. Hence, businesses should develop product designing that could satisfy the customers?? requirements since this will increase the enterprise??s competitiveness and it is an essential criterion to earning higher loyalties and profits. This paper investigates the following research issues in the development of new digital camera products: (1) What exactly are the customers?? ??needs?? and ??wants?? for digital camera products? (2) What features is more importance than others? (3) Can product design and planning for product lines/product collection be integrated with the knowledge of customers? (4) How can the rules help us to make a strategy during we design new digital camera? To investigate these research issues, the Apriori and C5.0 algorithms are methodologies of association rules and decision trees for data mining, which is implemented to mine customer??s needs. Knowledge extracted from data mining results is illustrated as knowledge patterns and rules on a product map in order to propose possible suggestions and solutions for product design and marketing.",non-battery
"Much work has focused on the effects of metal-contaminated sediment on benthic community structure, but effects on ecosystem functions have received far less attention. Decomposition has been widely used as an integrating metric of ecosystem function in lotic systems, but not for lentic ones. We assessed the relationship between low-level sediment lead (Pb) contamination and leaf-litter decomposition in a lentic system. We measured 30-day weight loss in 30 litter-bags that were deployed along a Pb-contamination gradient in a cypress-forested lake. At each deployment site we also quantified macrobenthos abundance, dissolved oxygen, water depth, sediment organic content, sediment silt/clay content, and both total sediment and porewater concentrations of Cd, Cu, Ni, Pb and Zn. Principal components (PC) analysis revealed a negative relationship between Pb concentration and benthic macroinvertebrate abundance, and this covariation dominated the first PC axis (PC1). Subsequent correlation analyses revealed a negative relationship between PC1 and percent leaf-litter loss. Our results indicate that leaf-litter decomposition was related to sediment Pb and benthic macroinvertebrate abundance. They also showed that ecosystem function may be affected even where sediment Pb concentrations are mostly below threshold-effects sediment quality guidelines??a finding with potential implications for sediment risk assessment. Additionally, the litter-bag technique used in this study showed promise as a tool in risk assessments of metal-contaminated sediments in lentic systems.",non-battery
